City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Buckeye,US,33.3703,-112.5838,79.12,44,100,3.44,overcast clouds
257,Namwala,ZM,-15.7504,26.4384,92.39,17,4,3.83,clear sky
258,Holme,DK,56.1138,10.1725,57.06,77,100,7.56,overcast clouds
259,Bandarbeyla,SO,9.4942,50.8122,78.8,83,15,26.71,few clouds
260,Raichur,IN,16.2,77.3667,79.25,78,100,6.6,overcast clouds
261,Clyde River,CA,70.4692,-68.5914,34.02,74,32,11.41,scattered clouds
262,Longyan,CN,25.1072,117.0225,71.28,93,100,4.41,overcast clouds
263,Gaya,IN,24.7833,85.0,80.51,89,5,0.0,mist
264,Haines Junction,CA,60.7522,-137.5108,32.49,96,88,3.09,overcast clouds
265,Fallon,US,39.4735,-118.7774,48.45,67,1,5.75,clear sky
266,Hanna,CA,51.6334,-111.9018,41.02,28,33,0.6,scattered clouds
267,Kampene,CD,-3.6,26.6667,69.8,96,100,0.92,light rain
268,Georgiyevskoye,RU,58.731,45.024,44.44,77,100,5.46,overcast clouds
269,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,80,0,4.47,clear sky
270,Grand Forks,US,47.9417,-97.4337,53.78,100,90,10.36,fog
271,Labrea,BR,-7.2586,-64.7981,95.29,41,100,3.83,overcast clouds
272,Mocuba,MZ,-16.8392,36.9856,81.0,42,22,10.49,few clouds
273,Contamana,PE,-7.3333,-75.0167,97.38,36,52,3.8,broken clouds
274,Alihe,CN,50.5667,123.7167,39.25,96,100,6.15,light rain
275,Yancheng,CN,33.3856,120.1253,73.0,94,0,7.07,light rain
276,Pimenta Bueno,BR,-11.6725,-61.1936,99.5,33,94,4.32,overcast clouds
277,Asau,RO,46.4333,26.4,50.76,53,98,4.81,overcast clouds
278,Plotnikovo,RU,55.0247,85.9436,44.94,78,55,10.04,broken clouds
279,Kewanee,US,41.2456,-89.9248,77.59,61,66,11.23,broken clouds
280,Akureyri,IS,65.6835,-18.0878,42.73,87,90,6.91,overcast clouds
281,Isangel,VU,-19.55,169.2667,62.71,94,33,4.61,scattered clouds
282,Ylivieska,FI,64.0833,24.55,51.31,94,55,4.85,broken clouds
283,Pahrump,US,36.2083,-115.9839,65.1,47,1,1.99,clear sky
284,Severodvinsk,RU,64.5635,39.8302,35.71,87,100,5.23,overcast clouds
285,Jurado,CO,7.1053,-77.7641,83.26,74,55,5.73,light rain
286,Callaway,US,30.153,-85.5699,83.98,63,1,4.0,clear sky
287,Pisco,PE,-13.7,-76.2167,66.02,82,90,6.91,overcast clouds
288,Saint-Augustin,CA,51.226,-58.6502,48.25,45,9,6.24,clear sky
289,Biak,ID,-0.9131,122.8766,76.66,76,100,4.99,overcast clouds
290,Moose Factory,CA,51.2585,-80.6094,62.58,82,40,8.05,scattered clouds
291,Suez,EG,29.9737,32.5263,78.08,56,0,19.19,clear sky
292,Akdepe,TM,42.0551,59.3788,53.69,48,41,10.74,scattered clouds
293,Namibe,AO,-15.1961,12.1522,72.23,68,40,13.8,scattered clouds
294,Nautla,MX,20.2167,-96.7833,81.88,71,5,6.82,clear sky
295,Pacifica,US,37.6138,-122.4869,60.42,80,40,4.0,scattered clouds
296,Raudeberg,NO,61.9875,5.1352,61.2,86,100,17.0,light rain
297,San Vicente,AR,-26.6167,-54.1333,67.12,98,100,2.86,moderate rain
298,Mahebourg,MU,-20.4081,57.7,73.69,73,40,14.97,light rain
299,Maceio,BR,-9.6658,-35.7353,87.24,58,40,11.5,scattered clouds
300,Deputatskiy,RU,69.3,139.9,15.76,86,100,4.83,overcast clouds
301,Luderitz,NA,-26.6481,15.1594,70.84,50,4,26.98,clear sky
302,Nanortalik,GL,60.1432,-45.2371,38.75,77,20,3.89,few clouds
303,Am Timan,TD,11.0297,20.2827,87.69,43,93,3.62,overcast clouds
