City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Mecca,SA,2021-10-04 11:40:59,21.4267,39.8261,100.98,23,18,12.55
109,Bom Jesus,BR,2021-10-04 11:42:39,-9.0744,-44.3586,92.07,27,65,8.72
110,Husavik,IS,2021-10-04 11:42:40,66.0449,-17.3389,37.31,89,100,18.68
111,Puerto Narino,CO,2021-10-04 11:42:40,-3.7703,-70.3831,75.15,94,100,0.92
112,Cabo San Lucas,MX,2021-10-04 11:42:08,22.8909,-109.9124,77.14,79,100,6.85
113,Hanna,CA,2021-10-04 11:42:41,51.6334,-111.9018,37.42,37,78,10.02
114,Aksu,CN,2021-10-04 11:42:41,41.1231,80.2644,55.09,53,98,2.35
115,Lasa,IT,2021-10-04 11:42:42,46.6166,10.7002,67.62,88,100,6.82
116,Longyearbyen,SJ,2021-10-04 11:40:44,78.2186,15.6401,42.64,75,75,16.11
117,Katsuura,JP,2021-10-04 11:42:42,35.1333,140.3,78.19,77,1,11.61
118,Yabelo,ET,2021-10-04 11:42:43,4.8833,38.0833,73.29,45,84,2.48
119,Port Alfred,ZA,2021-10-04 11:42:43,-33.5906,26.891,61.81,61,27,9.17
120,Lata,PT,2021-10-04 11:42:44,40.1629,-8.3327,66.81,51,41,5.86
121,Faya,SA,2021-10-04 11:42:44,18.3851,42.4509,82.51,40,31,7.83
122,Zaragoza,ES,2021-10-04 11:42:45,41.6561,-0.8773,68.14,50,0,11.01
123,Mannarakkat,IN,2021-10-04 11:42:45,10.9833,76.4667,90.95,96,99,3.51
124,Pemberton,CA,2021-10-04 11:42:46,50.3164,-122.8027,44.46,92,81,0.87
125,Namibe,AO,2021-10-04 11:42:47,-15.1961,12.1522,72.77,60,11,11.79
126,Swan Hill,AU,2021-10-04 11:42:47,-35.3378,143.5544,51.3,71,33,14.56
127,Ribeira Grande,PT,2021-10-04 11:42:48,38.5167,-28.7,73.8,83,40,5.75
128,Urumqi,CN,2021-10-04 11:38:04,43.801,87.6005,49.15,43,0,4.47
129,Ghanzi,BW,2021-10-04 11:42:48,-21.5667,21.7833,88.9,7,0,4.18
130,Xuddur,SO,2021-10-04 11:42:49,4.1213,43.8894,91.78,33,90,12.17
131,Leningradskiy,RU,2021-10-04 11:42:49,69.3833,178.4167,14.54,91,72,3.62
132,Muros,ES,2021-10-04 11:42:50,42.7762,-9.0603,67.15,80,93,7.99
133,Yar-Sale,RU,2021-10-04 11:42:50,66.8333,70.8333,34.61,98,100,13.6
134,Laives,IT,2021-10-04 11:42:51,46.4228,11.3348,77.07,58,20,3.44
135,Asau,RO,2021-10-04 11:42:51,46.4333,26.4,65.95,41,90,5.53
136,Hit,IQ,2021-10-04 11:42:52,33.6416,42.8251,91.29,17,0,14.7
137,Pimentel,PE,2021-10-04 11:42:52,-6.8367,-79.9342,59.29,94,75,10.36
138,Kahului,US,2021-10-04 11:41:08,20.8947,-156.47,75.22,82,20,9.22
139,Mackenzie,CA,2021-10-04 11:42:53,55.2999,-123.1698,30.42,86,75,3.44
140,Vanimo,PG,2021-10-04 11:42:53,-2.6741,141.3028,79.83,85,91,2.51
141,Abha,SA,2021-10-04 11:42:54,18.2164,42.5053,82.22,41,75,14.97
142,Biak,ID,2021-10-04 11:42:54,-0.9131,122.8766,77.18,79,81,2.1
143,Tarki,RU,2021-10-04 11:42:55,42.9442,47.4953,53.94,93,75,8.95
144,Ovsyanka,RU,2021-10-04 11:42:55,55.9575,92.5519,38.37,67,100,3.13
